col1,col2
488,137.24
489,153.22
490,156.8
491,148.32
492,128.99
493,105.29
494,100.16
495,94.64
496,87.88
497,71.89
498,42.2
499,14.58
500,-0.38
501,-10.24
502,-19.12
503,-34.3
504,-56.97
505,-80.98
506,-103.48
507,-110.23
508,-121.71
509,-129.34
510,-142.5
511,-135.45
512,-136.31
513,-144.28
514,-120.85
515,-116.86
516,-123.18
517,-94.66
518,-97.79
519,-91.61
520,-85.15
521,-82.04
522,-88.23
523,-75.81
524,-48.43
525,-29.19
526,-2.87
527,30.72
528,40.25
529,59.62
530,54.56
531,40.1
532,18.99
533,8.09
534,0.08
535,-18.82
536,-27.74
537,-15.97
538,9.93
539,65.64
540,111.27
541,140.65
542,158.98
543,164.68
544,184.21
545,195.49
546,200.24
547,188.32
548,172.19
549,157.67
550,140.1
551,132.39
552,119.15
553,107.24
554,92.01
555,68.41
556,48.97
557,33.27
558,16.45
559,-5.9
560,-29.61
561,-56.35
562,-76.81
563,-85.33
564,-97.5
565,-104.85
566,-119.56
567,-132.81
568,-140.23
569,-151.4
570,-157.86
571,-163.68
572,-182.41
573,-169.57
574,-149.91
575,-126.82
576,-111.44
577,-120.09
578,-127.89
579,-129.5
580,-119.25
581,-100.12
582,-82.91
583,-38.62
584,16.54
585,74.29
586,123.56
587,168.8
588,197.82
589,205.04
590,182.74
591,118.56
592,50.01
593,-11.69
594,-51.02
595,-68.42
596,-83.18
597,-88.36
598,-94.83
599,-86.24
600,-69.52
601,-33.77
602,19.11
603,55.0
604,99.9
605,115.11
606,119.8
607,119.52
608,119.27
609,123.54
610,130.99
611,136.79
612,134.81
613,114.13
614,93.72
615,82.54
616,72.49
617,61.64
618,41.98
619,27.88
620,-5.51
621,-22.06
622,-56.75
623,-78.08
624,-96.37
625,-91.23
626,-93.81
627,-95.23
628,-114.51
629,-130.05
630,-121.55
631,-108.49
632,-94.05
633,-74.74
634,-87.07
635,-77.46
636,-79.61
637,-86.05
638,-82.85
639,-79.96
640,-69.27
641,-64.14
642,-70.33
643,-56.09
644,-31.58
645,-3.23
646,31.3
647,49.77
648,52.89
649,53.0
650,54.9
651,40.41
652,35.47
653,31.02
654,18.02
655,-6.28
656,-24.55
657,-32.9
658,-21.51
659,12.14
660,47.83
661,78.15
662,112.63
663,135.57
664,149.91
665,163.72
666,159.05
667,153.04
668,150.34
669,142.51
670,139.95
671,128.66
672,120.29
673,106.46
674,95.82
675,83.54
676,70.68
677,58.21
678,38.89
679,17.9
680,-5.49
681,-26.54
682,-46.38
683,-58.85
684,-79.06
685,-89.16
686,-91.94
687,-98.95
688,-103.45
689,-109.31
690,-128.08
691,-136.87
692,-135.78
693,-145.6
694,-145.44
695,-153.4
696,-129.96
697,-116.06
698,-89.16
699,-86.54
700,-97.69
701,-91.52
702,-86.87
703,-65.58
704,-45.52
705,-42.77
706,-38.49
707,-33.74
708,-27.67
709,-2.4
710,23.04
711,50.43
712,62.49
713,64.34
714,70.51
715,66.16
716,71.24
717,58.72
718,40.25
719,23.62
720,4.16
721,-9.76
722,-25.88
723,-26.89
724,-14.3
725,2.43
726,23.78
727,35.81
728,52.02
729,66.62
730,75.26
731,75.83
732,77.25
733,68.63
734,75.26
735,76.74
736,71.76
737,76.29
738,83.06
739,87.35
740,90.32
741,85.79
742,81.71
743,82.54
744,85.08
745,85.57
746,90.52
747,101.27
748,133.44
749,141.69
750,160.83
751,150.14
752,136.03
753,121.53
754,110.27
755,96.55
756,89.59
757,78.83
758,68.25
759,60.52
760,55.37
761,48.93
762,38.64
763,25.78
764,12.4
765,3.06
766,-8.05
767,-7.24
768,-8.32
769,-2.09
770,-5.48
771,-7.63
772,-9.57
773,-2.31
774,9.62
775,6.86
776,7.97
777,-4.52
778,-13.97
779,1.83
780,11.54
781,21.19
782,23.57
783,19.41
784,7.57
785,10.41
786,8.47
787,8.53
788,9.47
789,8.53
790,5.87
791,-2.81
792,-3.43
793,-14.79
794,-6.11
795,-9.1
796,-7.29
797,-4.76
798,-9.68
799,-10.52
800,-10.36
801,-14.73
802,-20.46
803,-24.71
804,-35.74
805,-30.36
806,-15.63
807,-5.97
808,1.83
809,-5.55
810,-15.8
811,-18.72
812,-17.75
813,-16.87
814,-19.68
815,-25.82
816,-25.93
817,-27.84
818,-29.56
819,-29.3
820,-32.67
821,-31.2
822,-31.68
823,-32.11
824,-37.9
825,-45.81
826,-46.63
827,-44.67
828,-33.9
829,-28.71
830,-26.74
831,-33.07
832,-36.06
833,-37.85
834,-33.17
835,-38.85
836,-34.97
837,-34.17
838,-33.45
839,-32.81
840,-31.33
841,-33.59
842,-31.13
843,-25.32
844,-29.09
845,-26.18
846,-30.76
847,-32.19
848,-32.57
849,-24.81
850,-19.63
851,-20.37
852,-25.53
853,-35.58
854,-42.82
855,-34.94
856,-31.44
857,-30.1
858,-36.99
859,-36.89
860,-33.2
861,-19.98
862,-14.38
863,-13.84
864,-22.36
865,-28.22
866,-29.0
867,-27.0
868,-28.8
869,-29.52
870,-31.97
871,-26.97
872,-29.67
873,-26.71
874,-24.04
875,-27.93
876,-24.24
877,-18.22
878,-10.99
879,-5.39
880,-3.06
881,-9.95
882,-7.15
883,-4.64
884,1.22
885,0.2
886,-0.72
887,-7.85
888,-8.86
889,-7.98
890,-10.78
891,-14.2
892,-20.88
893,-24.19
894,-29.87
895,-32.29
896,-36.26
897,-37.13
898,-37.02
899,-37.82
900,-34.93
901,-23.34
902,-19.21
903,-12.79
904,-16.01
905,-22.51
906,-26.56
907,-24.8
908,-23.22
909,-20.0
