i,ecg
799,324
800,320
801,314
802,313
803,311
804,314
805,314
806,314
807,314
808,315
809,315
810,318
811,316
812,316
813,316
814,319
815,334
816,384
817,454
818,532
819,576
820,550
821,469
822,374
823,307
824,281
825,290
826,307
827,315
828,318
829,316
830,314
831,309
832,308
833,307
834,308
835,311
836,314
837,315
838,316
839,317
840,319
841,321
842,325
843,322
844,323
845,323
846,325
847,325
848,327
849,327
850,329
851,333
852,334
853,335
854,337
855,336
856,337
857,339
858,340
859,340
860,342
861,341
862,344
863,342
864,344
865,340
866,341
867,338
868,341
869,339
870,338
871,337
872,341
873,341
874,344
875,344
876,341
877,340
878,339
879,336
880,335
881,330
882,331
883,328
884,327
885,324
886,323
887,321
888,325
889,324
890,325
891,325
892,326
893,327
894,331
895,330
896,333
897,331
898,334
899,333
900,335
901,335
902,336
903,335
904,333
905,330
906,330
907,330
908,333
909,334
910,337
911,337
912,337
913,333
914,332
915,330
916,330
917,328
918,326
919,322
920,326
921,327
922,330
923,331
924,327
925,325
926,325
927,327
928,327
929,324
930,324
931,321
932,321
933,323
934,324
935,326
936,327
937,327
938,329
939,327
940,329
941,329
942,326
943,325
944,326
945,325
946,328
947,331
948,335
949,338
950,342
951,343
952,344
953,346
954,347
955,349
956,352
957,353
958,356
959,357
960,356
961,353
962,349
963,341
964,337
965,329
966,326
967,324
968,321
969,317
970,317
971,314
972,315
973,318
974,318
975,316
976,318
977,318
978,319
979,320
980,323
981,331
982,369
983,433
984,513
985,574
986,579
987,512
988,418
989,330
990,284
991,279
992,296
993,311
994,320
995,317
996,312
997,306
998,306
999,307
1000,309
1001,310
1002,310
1003,310
1004,308
1005,308
1006,311
1007,313
1008,318
1009,322
1010,323
1011,322
1012,320
1013,320
1014,321
1015,323
1016,324
1017,323
1018,326
1019,326
1020,329
1021,331
1022,333
1023,334
1024,335
1025,334
1026,337
1027,336
1028,337
1029,337
1030,335
1031,337
1032,337
1033,337
1034,337
1035,335
1036,337
1037,335
1038,334
1039,335
1040,335
1041,335
1042,336
1043,335
1044,333
1045,330
1046,328
1047,325
1048,323
1049,321
1050,320
1051,321
1052,318
1053,316
1054,315
1055,313
1056,313
1057,315
1058,316
1059,316
1060,317
1061,317
1062,315
1063,319
1064,320
1065,321
1066,323
1067,324
1068,324
1069,324
1070,324
1071,321
1072,321
1073,323
1074,323
1075,323
1076,323
1077,323
1078,323
1079,323
1080,323
1081,319
1082,317
1083,320
1084,321
1085,323
1086,325
1087,321
1088,319
1089,315
1090,315
1091,315
1092,317
1093,320
1094,320
1095,323
1096,321
1097,323
1098,321
1099,319
1100,317
1101,315
1102,315
1103,317
1104,318
1105,319
1106,319
1107,316
1108,314
1109,316
1110,318
1111,317
1112,318
1113,317
1114,316
1115,318
1116,317
1117,319
1118,318
1119,317
1120,316
1121,314
1122,316
1123,318
1124,321
1125,325
1126,330
1127,332
1128,335
1129,335
1130,332
1131,335
1132,338
1133,342
1134,345
1135,347
1136,347
1137,344
1138,342
1139,338
1140,331
1141,326
1142,321
1143,316
1144,313
1145,309
1146,307
1147,309
1148,310
1149,311
1150,311
1151,311
1152,307
1153,312
1154,312
1155,313
1156,313
1157,311
1158,317
1159,356
1160,422
1161,503
1162,561
1163,561
1164,494
1165,405
1166,323
1167,281
1168,275
1169,289
1170,301
1171,306
1172,307
1173,302
1174,301
1175,300
1176,302
1177,301
1178,302
1179,302
1180,303
1181,304
1182,305
1183,307
1184,307
1185,309
1186,311
1187,312
1188,314
1189,316
1190,316
1191,319
1192,317
1193,319
1194,319
1195,321
1196,324
1197,324
1198,324
1199,325
1200,324
1201,327
1202,328
1203,330
1204,332
1205,335
1206,336
1207,336
1208,333
1209,332
1210,331
1211,332
1212,333
1213,334
1214,335
1215,336
1216,333
1217,336
1218,335
1219,334
1220,332
1221,331
1222,327
1223,326
1224,324
1225,326
1226,325
1227,323
1228,320
1229,317
1230,315
1231,314
1232,315
1233,315
1234,315
1235,317
1236,318
1237,319
1238,315
1239,316
1240,315
1241,316
1242,320
1243,322
1244,324
1245,324
1246,320
1247,321
1248,320
1249,324
1250,325
1251,326
1252,323
1253,324
1254,321
1255,320
1256,319
1257,320
1258,320
1259,322
1260,321
1261,323
1262,321
1263,320
1264,319
1265,320
1266,320
1267,320
1268,317
1269,317
1270,318
1271,321
1272,321
1273,324
1274,322
1275,318
1276,318
1277,318
1278,318
1279,320
1280,318
1281,321
1282,321
1283,322
1284,318
1285,319
1286,316
1287,319
1288,319
1289,320
1290,320
1291,321
1292,320
1293,318
1294,321
1295,320
1296,322
1297,322
1298,322
1299,320
1300,323
1301,323
1302,323
1303,321
1304,321
1305,324
1306,322
1307,325
1308,326
1309,330
1310,334
1311,337
1312,339
1313,340
1314,344
1315,348
1316,352
1317,354
1318,355
1319,356
1320,353
1321,353
1322,348
1323,343
1324,336
1325,331
1326,324
1327,320
1328,317
1329,318
1330,319
1331,320
1332,317
1333,318
1334,319
1335,320
1336,322
1337,322
1338,323
1339,322
1340,320
1341,323
1342,353
1343,415
1344,493
1345,558
1346,569
1347,516
1348,431
1349,350
1350,301
1351,292
1352,298
1353,313
1354,320
1355,321
1356,318
1357,314
1358,312
1359,315
1360,316
1361,321
1362,320
1363,321
1364,317
1365,318
1366,319
1367,321
1368,322
1369,325
1370,323
1371,326
1372,326
1373,328
1374,331
1375,333
1376,332
1377,336
1378,334
1379,336
1380,332
1381,333
1382,335
1383,340
1384,343
1385,347
1386,346
1387,349
1388,349
1389,352
1390,349
1391,347
1392,344
