Index,ECG
664,147
665,402
666,632
667,659
668,503
669,363
670,236
671,573
672,786
673,1067
674,123
675,1287
676,1249
677,1034
678,129
679,1341
680,1027
681,384
682,166
683,-211
684,-19
685,189
686,-1
687,-459
688,-1043
689,-848
690,-1124
691,-651
692,-406
693,-816
694,-914
695,-823
696,-65
697,-405
698,-275
699,23
700,-25
701,-405
702,-544
703,-94
704,-1116
705,-554
706,-229
707,334
708,-59
709,-1133
710,-129
711,-1161
712,755
713,329
714,5751
715,8416
716,11354
717,13909
718,13958
719,11662
720,7346
721,1841
722,-2303
723,-5043
724,-6428
725,-6866
726,-6179
727,-5471
728,-4744
729,-508
730,-4932
731,-4708
732,-4148
733,-3013
734,-2712
735,-262
736,-2628
737,-2456
738,-167
739,-1503
740,-1533
741,-2099
742,-1709
743,-1719
744,-917
745,-285
746,104
747,363
748,417
749,-75
750,-157
751,-592
752,278
753,43
754,927
755,1104
756,544
757,129
758,206
759,276
760,788
761,1339
762,1205
763,905
764,724
765,832
766,839
767,755
768,499
769,359
770,864
771,1047
772,1392
773,1523
774,1191
775,982
776,1244
777,1029
778,1466
779,105
780,855
781,949
782,854
783,949
784,494
785,-185
786,-347
787,-762
788,-596
789,-536
790,-303
791,-632
792,-1109
793,-1358
794,-1852
795,-2027
796,-1644
797,-229
798,-1881
799,-1783
800,-1425
801,-1282
802,-1154
803,-1579
804,-1511
805,-127
806,-873
807,-605
808,-905
809,-454
810,-769
811,-692
812,-353
813,-318
814,-286
815,-167
816,-69
817,-531
818,-568
819,-421
820,-379
821,-161
822,-55
823,4
824,-324
825,69
826,-298
827,-178
828,-251
829,-406
830,-455
831,-49
832,225
833,383
834,615
835,463
836,237
837,123
838,-69
839,208
840,277
841,249
842,404
843,184
844,-194
845,-265
846,-59
847,307
848,637
849,573
850,786
851,167
852,24
853,396
854,-363
855,-327
856,-564
857,-418
858,164
859,418
860,646
861,581
862,523
863,-69
864,-152
865,-317
866,-105
867,625
868,473
869,785
870,797
871,717
872,465
873,-31
874,-478
875,-61
876,-729
877,-296
878,-267
879,-60
880,-18
881,108
882,367
883,151
884,-315
885,-283
886,375
887,1058
888,1312
889,641
890,37
891,-417
892,75
893,787
894,979
895,1421
896,919
897,647
898,762
899,776
900,968
901,1141
902,757
903,412
904,46
905,684
906,796
907,626
908,24
909,-879
910,-521
911,-1099
912,-899
913,-1259
914,-1403
915,-1263
916,-956
917,-591
918,-262
919,-236
920,-392
921,-353
922,-768
923,-151
924,-406
925,-455
926,-59
927,-621
928,-289
929,-26
930,-414
931,-1002
932,-1712
933,-1541
934,-757
935,939
936,3365
937,6178
938,9341
939,12457
940,14361
941,13735
942,11101
943,7111
944,307
945,-567
946,-348
947,-5922
948,-740
949,-711
950,-6129
951,-4796
952,-4046
953,-4092
954,-3773
955,-3575
956,-2858
957,-2662
958,-2486
959,-2597
960,-2428
961,-2005
962,-2164
963,-1768
964,-1771
965,-1324
966,-832
967,-568
968,-152
969,-46
970,-132
971,-569
972,-332
973,-839
974,-485
975,-166
976,3
977,747
978,853
979,767
980,691
981,172
982,64
983,508
984,367
985,24
986,486
987,438
988,664
989,1138
990,1024
991,921
992,1009
993,548
994,674
995,606
996,546
997,851
998,1126
999,1013
1000,912
1001,1091
1002,802
1003,902
1004,1081
1005,523
1006,381
1007,73
1008,-384
1009,-796
1010,-716
1011,-15
1012,-103
1013,357
1014,-579
1015,-1331
1016,-1738
1017,-1834
1018,-1741
1019,-1296
1020,-1167
1021,-141
1022,-1539
1023,-1565
